ref,status,doi,checked,citation
13,"has DOI, needs your check",10.1016/j.conengprac.2023.105741,,"J. Lin, Y. Fang, B. Lu, H. Cao, Y. Hao, Constrained model predictive control for 3-D offshore boom cranes, Control Eng. Pract. 142 (2024) 105741. doi:10.1016/j.conengprac.2023.105741."
14,"has DOI, needs your check",10.1109/TAC.1977.1101446,,"V. I. Utkin, Variable structure systems with sliding modes, IEEE Trans. Autom. Control 22 (2) (1977) 212-22. doi:10.1109/TAC.1977.1101446."
15,"has DOI, needs your check",10.1016/j.ymssp.2018.05.012,,"X. Shao, et al., Disturbance observer-based robust sliding mode control for an overhead crane system, Mech. Syst. Signal Process. 114 (2018) 63-77. doi:10.1016/j.ymssp.2018.05.012."
16,verified,10.1109/TIE.2008.2011621,,"J. Han, From PID to active disturbance rejection control, IEEE Trans. Ind. Electron. 56 (3) (2009) 900-6. doi:10.1109/TIE.2008.2011621."
17,"NO DOI, needs your check",,,"X. Gu, et al., Adaptive hierarchical sliding mode controller for tower cranes based on finite time disturbance observer, Int. J. Adapt. Control Signal Process. 36 (9) (2022)."
18,verified,,,"J. J. Downs, E. F. Vogel, A plant-wide industrial process control problem, Comput. Chem. Eng. 17 (3) (1993) 245-55."
19,verified,10.1609/aaai.v32i1.11694,,"P. Henderson, R. Islam, P. Bachman, J. Pineau, D. Precup, D. Meger, Deep reinforcement learning that matters, in: Proc. AAAI Conf. Artif. Intell., Vol. 32, 2018. doi:10.1609/aaai.v32i1.11694."
20,"has DOI, needs your check",10.1115/1.2801488,,"H. H. Lee, Modeling and control of a three-dimensional overhead crane, ASME J. Dyn. Syst. Meas. Control 120 (4) (1998) 471-6. doi:10.1115/1.2801488."
21,"NO DOI, needs your check",,,"D. Chwa, Nonlinear tracking control of 3-D overhead cranes against the initial swing angle and the variation of the payload weight, IEEE Trans. Control Syst. Technol. 17 (4) (2009) 876-83."
22,"has DOI, needs your check",10.1016/j.automatica.2018.01.008,,"B. Lu, Y. Fang, N. Sun, Modeling and nonlinear coordination control for an underactuated dual overhead crane system, Automatica 91 (2018) 244-55. doi:10.1016/j.automatica.2018.01.008."
23,"has DOI, needs your check",10.1016/j.ymssp.2019.02.032,,"X. Zhao, J. Huang, Distributed-mass payload dynamics and control of dual cranes undergoing planar motions, Mech. Syst. Signal Process. 126 (2019) 636-48. doi:10.1016/j.ymssp.2019.02.032."
24,"has DOI, needs your check",10.1177/0954406220949579,,"J. Huang, K. Zhu, Dynamics and control of three-dimensional dual cranes transporting a bulky payload, Proc. Inst. Mech. Eng. C: J. Mech. Eng. Sci. 235 (11) (2021) 1956-65. doi:10.1177/0954406220949579."
25,verified,10.1145/838250.838251,,"J. R. R. A. Martins, P. Sturdza, J. J. Alonso, The complex-step derivative approximation, ACM Trans. Math. Softw. 29 (3) (2003) 245-62. doi:10.1145/838250.838251."
26,verified,10.1002/qj.49709841707,,"J. C. Kaimal, J. C. Wyngaard, Y. Izumi, O. R. Coté, Spectral characteristics of surface-layer turbulence, Q. J. R. Meteorol. Soc. 98 (417) (1972) 563-89. doi:10.1002/qj.49709841707."
27,"NO DOI, needs your check",,,"International Electrotechnical Commission, IEC 61400-1 Ed.4: Wind energy generation systems - Part 1: Design requirements, IEC, 2019."
28,"has DOI, needs your check",10.1115/1.3119501,,"M. Shinozuka, G. Deodatis, Simulation of stochastic processes by spectral representation, Appl. Mech. Rev. 44 (4) (1991) 191-204. doi:10.1115/1.3119501."
29,"NO DOI, needs your check",,,"T. R. Beal, Digital simulation of atmospheric turbulence for Dryden and von Karman models, J. Guid. Control Dyn. 16 (1) (1993) 132-8."
30,verified,10.1109/TAC.1978.1101743,,"C. F. Van Loan, Computing integrals involving the matrix exponential, IEEE Trans. Autom. Control 23 (3) (1978) 395-404. doi:10.1109/TAC.1978.1101743."
31,verified,10.1080/00207178308933088,,"J.-J. E. Slotine, S. S. Sastry, Tracking control of non-linear systems using sliding surfaces, with application to robot manipulators, Int. J. Control 38 (2) (1983) 465-92. doi:10.1080/00207178308933088."
32,verified,10.2307/1268522,,"M. D. McKay, R. J. Beckman, W. J. Conover, A comparison of three methods for selecting values of input variables in the analysis of output from a computer code, Technometrics 21 (2) (1979) 239-45. doi:10.2307/1268522."
33,verified,10.1214/aos/1176344552,,"B. Efron, Bootstrap methods: another look at the jackknife, Ann. Stat. 7 (1) (1979) 1-26. doi:10.1214/aos/1176344552."
34,verified,10.2307/3001968,,"F. Wilcoxon, Individual comparisons by ranking methods, Biom. Bull. 1 (6) (1945) 80-3. doi:10.2307/3001968."
35,"NO DOI, needs your check",,,"American Society of Civil Engineers, ASCE/SEI 7, Minimum Design Loads and Associated Criteria for Buildings and Other Structures; torsional wind load case (Case 2), which pairs 75 % of the design wind load with an eccentricity of 15 % of the width."
36,pending Zenodo,,,"O. Sheremet, S. Podliesnyi, cranebench: a reproducible benchmark for underactuated crane control, version 1.0.0 [software], archived at Zenodo, 2026. doi:*(to be inserted on release)*."
